,predicted
0,5.327514488425155
1,5.305446464002915
2,5.347119960764466
3,5.305801861948581
4,5.106825235131613
5,5.098035137489105
6,5.085966867368461
7,5.044001380201023
8,5.06347941847404
9,4.781961653402219
10,4.857306808894377
11,5.055016577126144
12,4.979484791388101
13,5.016893200442713
14,4.936668797931517
15,5.121516323718367
16,5.090942898602465
17,5.1149724590352585
18,5.006503765231408
19,5.041698394899331
20,4.999134281881596
21,4.7671422517389
22,5.129067870418862
23,5.019927277834332
24,5.045946173405353
25,4.77747048625281
26,5.042274833805168
27,5.076955018185917
28,5.116353917662834
29,5.208405576586588
30,5.134976692490373
31,5.362297654254668
32,5.2712304110507215
33,5.311551202041531
34,5.269819981777882
35,5.160386544418826
36,5.22266827684474
37,5.517050617839077
38,5.475853147522985
39,5.533278382701824
40,5.476403911309917
41,5.320214418538331
42,5.339051187166353
43,5.437250059580136
44,5.311501032428517
45,5.326128730022309
46,5.325075538000384
47,5.387228828327463
48,5.584012328974604
49,5.1466559303041715
50,5.14809239748093
51,5.231124045671384
52,5.155312304560779
53,5.167886841094722
54,5.1521298752822915
55,5.289516501586232
56,5.344971818344867
57,5.3220377054627
58,5.340864841723646
59,5.314686945712718
60,5.279164518741568
61,5.339524730929641
62,5.3108052458133415
63,5.215807495506878
64,5.16322691172246
65,5.135053609775445
66,5.148538492467378
67,5.1962261956520654
68,5.141909192754415
69,5.1430728075859715
70,5.095876525805348
71,5.386330833569657
72,5.438690547427951
73,5.415335377802274
74,5.364214501179743
75,5.431739354316712
76,5.321329396462146
77,5.3031149676704725
78,5.3604604262927245
79,5.426096607359061
80,5.361332497268921
81,5.361321418372397
82,5.437300457725302
83,5.3800487225081275
84,5.505817841957439
85,5.366274960050588
86,5.412342427873119
87,5.366554580449374
88,5.181668634544579
89,5.1817250465913585
90,5.398583552977141
91,5.347593294883765
92,5.324873138427021
93,5.271792069828141
94,5.283788177196885
95,5.297119873118139
96,5.272325859817011
97,5.161489823114307
98,5.215671264466644
99,5.161239428491876
100,5.24825492052669
101,5.128123976121868
102,5.25440219460636
103,5.331029052563199
104,5.124139507626689
105,5.16674379869005
106,5.3166079642126425
107,5.428210971647581
108,5.292004690973795
109,5.2050477799241515
110,5.359301216129059
111,5.3952749286661605
112,5.398952046023842
113,5.39834009933054
114,5.1365942966420635
115,5.204346803377903
116,5.083815431983241
117,5.050713370802965
118,5.113703790632195
119,5.300288743570087
120,5.167122088878117
121,5.207202289544154
122,5.056923920520779
123,5.270168801960904
124,5.160641307616332
125,4.990055963796747
126,5.1686770557664765
127,5.182597272933683
128,5.05037551066649
129,5.135823213909031
130,5.086518200216694
131,5.180974400235794
132,5.106312794913702
133,5.224370801805621
134,5.137863590786305
135,5.361603076529902
136,5.322953899615856
137,5.188886443248109
138,5.168881239103656
